,channel_id,channel_name,LinkedIn,Wiki,Website,Twitter,Facebook
90,UCretxef46N9r-v0FOlHWIVA,Medicine with Dr. Moran,0,0,0,0,0
91,UClR8YIQX5Fb8J2wmsUKLhvQ,American Academy of Pediatrics,3,2983,20878,101,0
92,UCgVZ0mrM3liHNhRYC5Mchgg,WPLG Local 10,0,0,20878,101,0
93,UCg40OxZ1GYh3u3jBntB6DLg,Forbes Breaking News,0,0,0,0,0
94,UCKe4Fry0MyvT_SRrmn0_MiQ,WISH-TV,0,456,3342,243,80
95,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,0,0,1301748,24,4
96,UCxCfoSInadl-4i3F70zDt1A,NBC New York,103,9160,1301748,24,0
97,UC52X5wxOL_s5yw0dQk7NtgA,Associated Press,0,107791,6916629,720998,230
98,UCZYTClx2T1of7BRZ86-8fow,SciShow,0,291,0,41,230
99,UCBi2mrWuNuyYy4gbM6fU18Q,ABC News,103,10280,1812996,9589,0
100,UCqigMiyLjh0Lf980zWoeAmA,Public Health Agency,1239,29,0,0,0
101,UC9RM-iSvTu1uPJb8X5yp3EQ,Wendover Productions,0,0,0,40,0
102,UCPgLNge0xqQHWM5B5EFH9Cg,The Telegraph,42,20600,0,0,0
103,UC_vFLohxs5PkAxlk7Y6jEtw,ABC 7 Chicago,0,0,0,40,6
104,UCZaT_X_mc0BI-djXOlfhqWQ,VICE News,3,3595,11654,1187,0
105,UCp9pxqv-oMY1a6axT6mHcew,Pastor Greg Laurie,0,0,0,124,2
106,UCIVk1L1-JmpdiGuZcVjImtA,ABC15 Arizona,3,0,0,0,0
107,UCVaXclURQZlakiTMzuwHvRw,News 19 WLTX,0,0,0,162,157
108,UCCJsQKOKArvDksacfT2ryQw,World Affairs by Unacademy,0,0,0,0,0
109,UCEKJzGwBMDpmK51v5JIezUw,WKRN News 2,15,0,0,162,157
110,UCvJJ_dzjViJCoLf5uKUTwoA,CNBC,0,11463,449459,325,1
111,UChirEOpgFCupRAk5etXqPaA,Bloomberg Quicktake,0,0,0,45326,6814
112,UCAUMuw4KF1mPdOlxaAbTDmw,uvahealth,0,0,449459,0,6814
113,UCE83i5yn_YQ1HnFO027BnnQ,American Medical Association (AMA),164,8844,0,0,0
114,UC83jt4dlz1Gjl58fzQrrKZg,CNA,1,869,19638,231,0
