,channel_id,channel_name,channel_dop,sub_count,total_videos,profile
13,UCBu0KdNokE4MqdkacvH37_A,WFAA,2006-12-07,1590000,59009,https://yt3.ggpht.com/ytc/AIdro_kkm19CWX10MUvg_s4rZzp1FWWHEyCgudCf2bq37Q=s240-c-k-c0x00ffffff-no-rj
14,UCCj956IF62FbT7Gouszaj9w,BBC,2005-11-12,14100000,18468,https://yt3.ggpht.com/ytc/AIdro_mnirkgsaTyVcnOQzupuwM9ZqTBJ2v9DMQjJ1zmGw=s240-c-k-c0x00ffffff-no-rj
15,UC0vn8ISa4LKMunLbzaXLnOQ,GBNews,2021-02-21,1200000,59644,https://yt3.ggpht.com/cexkusY_WDfoU04VaLRfZkPpwaFsopQ43v_g-6Na1U2eO-HV6J1pe3iEx5BI59tqqZou_zOeQw=s240-c-k-c0x00ffffff-no-rj
16,UCDvJcb8Adv-_bOrtnRLmiDw,WFLA News Channel 8,2007-04-04,656000,46034,https://yt3.ggpht.com/-kcohSPXknvrybix3K6ayjkT3_vn0Hily7cED3KwrlYzXYNzTXrgmg4ea04Yurmzkgk04A6j3Rg=s240-c-k-c0x00ffffff-no-rj
17,UCknLrEdhRCp1aegoMqRaCZg,DW News,2007-09-04,5050000,33429,https://yt3.ggpht.com/7FPGaZ3f81d6IXj-eZwD5_f8UhKNFTMg6jvesjs42nnEwTKrFGnIBGqxbP0QZs2MyAKF2zQHmFA=s240-c-k-c0x00ffffff-no-rj
18,UCNZR15cy3w1fzGXgI5oy5aA,Mike Ritland,2017-02-09,219000,359,https://yt3.ggpht.com/ytc/AIdro_nV6grKqHNguA1M4mLGfKwSNm3J_d7lEvjd__3Okg=s240-c-k-c0x00ffffff-no-rj
19,UCVT1tPkR-fUVlO652EcO3ow,CBS Sunday Morning,2013-06-07,1450000,7144,https://yt3.ggpht.com/ytc/AIdro_lNOw-WTLvHPWLQLnfgpUaZHoSFISBLLBWozLb2=s240-c-k-c0x00ffffff-no-rj
20,UC16niRr50-MSBwiO3YDb3RA,BBC News,2006-04-08,15700000,20924,https://yt3.ggpht.com/y_esGAQOhX4rTpWvrALErAJlFbm_2TIVrvcVfcZny7TuA8dJZgOQcC6KRfd_J5hljFe-foYXj9U=s240-c-k-c0x00ffffff-no-rj
21,UCWCEYVwSqr7Epo6sSCfUgiw,MIRROR NOW,2015-10-06,795000,77285,https://yt3.ggpht.com/ytc/AIdro_kCyUCW4NIHgOvBev-w1XtoOGLgCbSWyQ0-X1XVww=s240-c-k-c0x00ffffff-no-rj
22,UClwkBPKzW8h_rfZWuG_kWjw,Ad Council,2006-03-10,168000,431,https://yt3.ggpht.com/ytc/AIdro_mdxcYyRxz2wIDLnk56N9yXQJvSIsKMxtsPHSNBHA=s240-c-k-c0x00ffffff-no-rj
23,UCO0akufu9MOzyz3nvGIXAAw,Sky News Australia,2007-06-20,3950000,140800,https://yt3.ggpht.com/ytc/AIdro_nmoKSbKEk80UGZ14R8h2Ch1vzRQc1Tr6SurBOd=s240-c-k-c0x00ffffff-no-rj
24,UCrp_UI8XtuYfpiqluWLD7Lw,CNBC Television,2018-05-29,2670000,115806,https://yt3.ggpht.com/E96qzkAoX81DQs7wqRHR4rNk1esa4quBPzda2QRzImlhoHOVgRdAN8o-S0Rb_hpygo_n4LdhwTE=s240-c-k-c0x00ffffff-no-rj
25,UCMSsLqxqvZsNXi0Z-VjN89A,Doctor Mike Hansen,2018-10-03,1140000,330,https://yt3.ggpht.com/Y_iNjNBFP6bpHwT2hAHaLj7J3po22sGjwlR6mn26PWRp2IFesRAeNQEpSuh9xFiG8R57OOE83DE=s240-c-k-c0x00ffffff-no-rj
26,UCeY0bbntWzzVIaj2z3QigXg,NBC News,2006-07-19,9730000,62091,https://yt3.ggpht.com/fywLc9cbRxDEs4w9MTLK8v0rDsbzcPvL-FAuMUdUZbCvlJ6TZayQSm-f488VNqfNGmB_cARWqOg=s240-c-k-c0x00ffffff-no-rj
27,UCaXkIU1QidjPwiAYu6GcHjg,MSNBC,2011-12-01,6540000,79180,https://yt3.ggpht.com/HjXKmDGoAp6b-JdGYpqJYYeN4S_CMpD_kqWvldpN53cbzn-i73t6mVNo8mNki-xLPwi0BVSFi-o=s240-c-k-c0x00ffffff-no-rj
28,UCzF4Ryn8TKn64md77gS5Q5Q,11Alive,2017-02-17,1670000,101757,https://yt3.ggpht.com/ytc/AIdro_l3z1bmQp9RxBlhQOls5vmXL4j-6-RH0H8Y86tcK3w=s240-c-k-c0x00ffffff-no-rj
