,channel_id,channel_name,channel_dop,sub_count,total_videos
46,UCHqkXbgqrDrDVInBMSoGQgQ,The Daily Signal,2014-05-21,286000,2142
47,UCLXo7UDZvByw2ixzpQCufnA,Vox,2014-03-04,11900000,1682
48,UCJFOER35ggIWwsXh2ZDnqyg,The Economic Times,2015-01-17,2250000,39185
49,UChDKyKQ59fYz3JO2fl0Z6sg,TODAY,2013-08-21,4320000,34440
50,UCtWWry0cgjWi9C0Ye9sh6og,news.com.au,2019-02-13,933000,11419
51,UCsooa4yRKGN_zEE8iknghZA,TED-Ed,2011-03-01,19600000,2134
52,UCZ8Sxmkweh65HetaZfR8YuA,The Hollywood Reporter,2008-01-23,1130000,8935
53,UC8LQKvQviSRXGuz5wrXdmmw,The Curious Cobra,2019-07-22,611000,243
54,UCiTGKA9W0G0TL8Hm7Uf_u9A,Alila Medical Media,2014-01-02,1240000,362
55,UCVKYCeuR3OyO-M2rfUXHDyg,KTVB,2006-12-23,108000,31668
56,UCi4fcBVyo4CAnmdgXeO-NvA,CBS Boston,2014-02-27,215000,70541
57,UCk2MflaDb9D46GQtmBo9N-Q,The Healthcare Today,2017-01-14,504000,2380
58,UCpi8TJfiA4lKGkaXs__YdBA,The Try Guys,2018-05-23,8060000,775
59,UCmtPDgiOcMStJt-f12yGTpg,GreenCardGuysTV by John Ting Immigration Attorney,2020-07-30,8970,950
60,UCrkhryqZABVzsGvfeAp0uIw,The BMJ,2008-12-10,40800,303
61,UCByGc7P_siORkC1pum8T3_Q,WFSB 3,2013-09-19,82200,64967
62,UC85VW73bQLEjs_taFKP7TwQ,Nucleus Medical Media,2007-02-02,6460000,632
63,UCQfwfsi5VrQ8yKZ-UWmAEFg,FRANCE 24 English,2007-04-04,2900000,96411
64,UCHd62-u_v4DvJ8TCFtpi4GA,Washington Post,2006-06-30,2310000,21120
65,UCrlIS7z20CnVaCrMvdkig_g,Eyewitness News ABC7NY,2014-05-22,1720000,21715
66,UCm7lHFkt2yB_WzL67aruVBQ,Hindustan Times,2005-11-16,6570000,58781
67,UCXIJgqnII2ZOINSWNOGFThA,Fox News,2006-09-19,11100000,102340
68,UCJA54SrrVv7qRrEQSPVJ8Ug,Community Health Network,2007-03-07,6270,1857
69,UCKe4Fry0MyvT_SRrmn0_MiQ,WISH-TV,2016-11-16,39200,60263
70,UCYx6O5ltWUVi8xzEGkM0WYQ,Pristyn Care Surgeries,2018-03-30,247000,1103
71,UC6ip3rb4w_LIq1Q8kJXcKlw,Forbes Middle East,2012-01-22,36600,6516
72,UCYPvAwZP8pZhSMW8qs7cVCw,India Today,2015-05-23,8570000,176321
73,UCH1oRy1dINbMVp3UFWrKP0w,Good Morning America,2015-08-26,4900000,35537
74,UCf3BkFTwI4G1vMc6W-NpQNw,Australian Department of Health and Aged Care,2014-11-17,18500,1933
75,UCzF4Ryn8TKn64md77gS5Q5Q,11Alive,2017-02-17,1650000,105954
76,UCxyiSz4m161Z6frOsFxJpgw,Cleveland Clinic,2007-02-05,497000,4954
77,UCrmxzSIf7J66qvlOAT9AlZQ,BlackBeltBarrister,2020-04-27,399000,1968
78,UCIYLOcEUX6TbBo7HQVF2PKA,9 News Australia,2009-11-13,1380000,29248
79,UC1dVGItBqV4w-4xQHoX1UDg,CBS 17,2006-09-28,261000,76318
80,UCabaQPYxxKepWUsEVQMT4Kw,Healthcare Triage,2013-09-29,446000,761
81,UCoookXUzPciGrEZEXmh4Jjg,Sesame Street,2006-01-16,23700000,3681
82,UC8p1vwvWtl6T73JiExfWs1g,CBS News,2006-09-27,5650000,119452
83,UCw9zM4_S570N72pUfwIkuwQ,BJC HealthCare,2008-11-20,5980,609
84,UC13mSI38YWz5zfvxXDPpePA,FOX 13 Tampa Bay,2013-08-19,830000,9284
85,UC9k-yiEpRHMNVOnOi_aQK8w,Inside Edition,2012-10-09,12900000,33519
86,UCCJ8wEkiHBHkVD8Jb7sbIBg,Providence,2015-06-01,10500,3034
87,UC5UlvCrYsS8axWEQ9Kd1sAg,VJNeurology,2020-05-13,6450,3278
88,UCKQECjul8nw1KW_JzfBTP1A,KPRC 2 Click2Houston,2014-04-17,657000,75056
89,UC-RxXi2Xws6Uk22vp-sLbGA,WCNC,2017-02-17,217000,51597
90,UCT350j4u6alUKyF9eu2bGug,ABC10,2016-03-18,338000,35563
91,UCg40OxZ1GYh3u3jBntB6DLg,Forbes Breaking News,2017-06-28,2840000,83682
92,UCrPhcbDwqWRc-3tteE2BS6g,Mama Doctor Jones,2017-05-02,1390000,417
93,UCBwejc-awS-mANgrkHQ5-6A,BBC London,2016-02-01,209000,1676
94,UC8LNZzsetswiQ4ltf4gmXzg,Merogenomics,2019-07-24,143000,157
95,UC3prwMn9aU2z5Y158ZdGyyA,CRUX,2016-05-18,2350000,16398
96,UCG5TBPANNSiKf1Dp-R5Dibg,Dr.G Bhanu Prakash Animated Medical Videos,2007-09-07,1060000,1758
97,UCrC8mOqJQpoB7NuIMKIS6rQ,StudyIQ IAS,2015-06-22,16300000,48716
98,UCOGa-48fFt4cW0UnW5WSdRg,FOX 2 Detroit,2013-12-16,323000,8524
99,UCXJryYh6xcW5iEeJGzK191A,CBS Miami,2014-08-06,557000,89585
100,UC52X5wxOL_s5yw0dQk7NtgA,Associated Press,2006-09-18,2650000,169557
101,UCi8URBP1KDF0KuG_ntPFS2w,eHealth Saskatchewan,2018-04-09,667,14
102,UCMbsWtzxAwuVBmM0I0ZZCJg,Taghavi Immigration Law,2017-01-30,610,254
103,UC2rLSYDm92QMytS9yIkT8UQ,FOX 4 Now,2010-04-20,236000,74573
104,UCretxef46N9r-v0FOlHWIVA,Medicine with Dr. Moran,2020-03-21,247000,130
105,UCxfBw80sGM6KhT6LKh8ioLw,YEN VY CHANNEL,2014-08-24,1040000,966
