,channel_id,channel_name,LinkedIn,Wiki,Website,Twitter,Facebook,Instagram
53,UCHd62-u_v4DvJ8TCFtpi4GA,Washington Post,,,,https://twitter.com/washingtonpost,https://www.facebook.com/washingtonpost,https://www.instagram.com/washingtonpost
54,UCXIJgqnII2ZOINSWNOGFThA,Fox News,,,,https://twitter.com/FoxNews,https://www.facebook.com/FoxNews,https://www.instagram.com/foxnews
55,UCGbQJy-531_5vfphay-rChQ,People,,,,https://twitter.com/people,https://facebook.com/peoplemag,https://www.instagram.com/people
56,UCYx6O5ltWUVi8xzEGkM0WYQ,Pristyn Care Surgeries,https://linkedin.com/company/pristyncare,,,,https://facebook.com/PristynCareSurgeries,
57,UCIYLOcEUX6TbBo7HQVF2PKA,9 News Australia,,,,https://twitter.com/9NewsAUS,https://www.facebook.com/9News,https://www.instagram.com/9news
58,UCm7lHFkt2yB_WzL67aruVBQ,Hindustan Times,,,,https://twitter.com/htTweets,https://facebook.com/hindustantimes,
59,UCH1oRy1dINbMVp3UFWrKP0w,Good Morning America,,,,https://twitter.com/abcgma3,https://www.facebook.com/abcgma3,https://instagram.com/abcgma3
60,UCrlIS7z20CnVaCrMvdkig_g,Eyewitness News ABC7NY,,,,https://twitter.com/abc7ny,https://www.facebook.com/ABC7NY,https://www.instagram.com/abc7ny
61,UCpi8TJfiA4lKGkaXs__YdBA,The Try Guys,,,,https://twitter.com/tryguys,https://facebook.com/tryguys,https://www.instagram.com/tryguys
62,UCxyiSz4m161Z6frOsFxJpgw,Cleveland Clinic,https://linkedin.com/company/cleveland-clinic/mycompany,,,https://twitter.com/clevelandclinic,https://facebook.com/clevelandclinic,
63,UCByGc7P_siORkC1pum8T3_Q,WFSB 3,,,,,,
64,UC1dVGItBqV4w-4xQHoX1UDg,CBS 17,,,,https://twitter.com/WNCN,https://facebook.com/WNCNTV,
65,UCHqkXbgqrDrDVInBMSoGQgQ,The Daily Signal,,,,https://twitter.com/DailySignal,https://facebook.com/TheDailySignalNews,
66,UCmKKVuZrBfSGiuvtOuipoDA,NBC Bay Area,,,,https://twitter.com/nbcbayarea,https://facebook.com/nbcbayarea,https://instagram.com/nbcbayarea
67,UCoookXUzPciGrEZEXmh4Jjg,Sesame Street,,,,,,
68,UCw9zM4_S570N72pUfwIkuwQ,BJC HealthCare,https://linkedin.com/company/bjc-healthcare/careers,,,https://twitter.com/bjc_healthcare,https://facebook.com/bjchealthcare,
69,UCYPvAwZP8pZhSMW8qs7cVCw,India Today,,,https://www.indiatoday.in/,https://twitter.com/IndiaToday,https://www.facebook.com/IndiaToday,
70,UCG5TBPANNSiKf1Dp-R5Dibg,Dr.G Bhanu Prakash Animated Medical Videos,,,,,,https://www.instagram.com/drgbhanuprakash
71,UC13mSI38YWz5zfvxXDPpePA,FOX 13 Tampa Bay,,,,https://twitter.com/FOX13news,https://facebook.com/FOX13TampaBay,
72,UCT350j4u6alUKyF9eu2bGug,ABC10,,,,https://twitter.com/ABC10,https://www.facebook.com/ABC10tv,https://www.instagram.com/abc10tv
73,UC9k-yiEpRHMNVOnOi_aQK8w,Inside Edition,,,,https://twitter.com/insideedition,https://facebook.com/Inside,
74,UC5UlvCrYsS8axWEQ9Kd1sAg,VJNeurology,,,,,,
75,UCmMAcf_ytC_H54h8wpUGEzA,NYSDOH NY,,,,,,
76,UCD09NCZlzMj4yGvGkLbuBpw,Báo Sức khoẻ & Đời sống,,,https://suckhoedoisong.vn/,,https://www.facebook.com/baosuckhoevadoisong,
