,channel_id,channel_name,channel_dop,sub_count,total_videos
25,UCSrZ3UV4jOidv8ppoVuvW9Q,euronews,2006-09-19,2330000,99768
26,UC-RxXi2Xws6Uk22vp-sLbGA,WCNC,2017-02-17,220000,49728
27,UCWCEYVwSqr7Epo6sSCfUgiw,MIRROR NOW,2015-10-06,803000,77662
28,UCaXkIU1QidjPwiAYu6GcHjg,MSNBC,2011-12-01,6550000,79377
29,UC16niRr50-MSBwiO3YDb3RA,BBC News,2006-04-08,15700000,20964
30,UCoMdktPbSTixAyNGwb-UYkQ,Sky News,2006-06-12,7450000,45275
31,UCLpPdayeUfDyh6jg3oN-GIg,Dr. Jen Caudle,2014-10-09,262000,2320
32,UCIYLOcEUX6TbBo7HQVF2PKA,9 News Australia,2009-11-13,1390000,29551
33,UClwkBPKzW8h_rfZWuG_kWjw,Ad Council,2006-03-10,168000,431
34,UCZ8Sxmkweh65HetaZfR8YuA,The Hollywood Reporter,2008-01-23,1130000,9092
35,UCzznO4xSV8BKnUBPyswtCUw,Arirang News,2009-06-22,676000,150625
36,UCODc8Pa-_WUMaVRp9dvmNmw,13News Now,2014-01-27,189000,39721
37,UC-bqVtuVe9Yq4ujIG8cqIMQ,Vaccine Makers Project,2017-07-27,32800,46
38,UCrkhryqZABVzsGvfeAp0uIw,The BMJ,2008-12-10,40900,303
39,UCLXo7UDZvByw2ixzpQCufnA,Vox,2014-03-04,11900000,1690
40,UC85VW73bQLEjs_taFKP7TwQ,Nucleus Medical Media,2007-02-02,6470000,634
41,UCsooa4yRKGN_zEE8iknghZA,TED-Ed,2011-03-01,19600000,2139
42,UCXIJgqnII2ZOINSWNOGFThA,Fox News,2006-09-19,11100000,102969
43,UCVKYCeuR3OyO-M2rfUXHDyg,KTVB,2006-12-23,109000,32077
44,UC6ZFN9Tx6xh-skXCuRHCDpQ,PBS NewsHour,2009-11-30,3960000,48930
45,UCrp_UI8XtuYfpiqluWLD7Lw,CNBC Television,2018-05-29,2680000,116020
46,UCG-iSMVtWbbwDDXgXXypARQ,MedCram - Medical Lectures Explained CLEARLY,2012-03-26,1550000,526
47,UCiTGKA9W0G0TL8Hm7Uf_u9A,Alila Medical Media,2014-01-02,1250000,364
48,UCHqkXbgqrDrDVInBMSoGQgQ,The Daily Signal,2014-05-21,293000,2172
49,UCKjU3KzdbJE1EFcHVqXC3_g,CBC News: The National,2007-10-17,1660000,29039
50,UCHd62-u_v4DvJ8TCFtpi4GA,Washington Post,2006-06-30,2330000,21248
51,UCSxeKmlI8XLrI1eMaqqM-kg,Vejon Health,2018-07-21,111000,440
52,UChDKyKQ59fYz3JO2fl0Z6sg,TODAY,2013-08-21,4340000,34768
53,UCH4BNI0-FOK2dMXoFtViWHw,Be Smart,2012-03-17,5060000,432
54,UCrC8mOqJQpoB7NuIMKIS6rQ,StudyIQ IAS,2015-06-22,16500000,49095
55,UC0vn8ISa4LKMunLbzaXLnOQ,GBNews,2021-02-21,1200000,59876
56,UCByGc7P_siORkC1pum8T3_Q,WFSB 3,2013-09-19,83300,65653
57,UCsv4YOF2RBYh0NQ1vuHQ-hg,Comedy Central UK,2010-10-25,2140000,7076
58,UC8p1vwvWtl6T73JiExfWs1g,CBS News,2006-09-27,5670000,120116
59,UCrlIS7z20CnVaCrMvdkig_g,Eyewitness News ABC7NY,2014-05-22,1790000,22090
60,UC1dVGItBqV4w-4xQHoX1UDg,CBS 17,2006-09-28,262000,76717
61,UCJA54SrrVv7qRrEQSPVJ8Ug,Community Health Network,2007-03-07,6320,1862
62,UCGbQJy-531_5vfphay-rChQ,People,2005-11-08,1210000,14442
63,UCpi8TJfiA4lKGkaXs__YdBA,The Try Guys,2018-05-23,8060000,792
64,UC5UlvCrYsS8axWEQ9Kd1sAg,VJNeurology,2020-05-13,6650,3282
65,UCT350j4u6alUKyF9eu2bGug,ABC10,2016-03-18,342000,35898
66,UCdOflwQsgRV_RbgRGRpr_TQ,The Hindu businessline,2011-10-06,69400,2912
67,UCOGa-48fFt4cW0UnW5WSdRg,FOX 2 Detroit,2013-12-16,326000,8618
68,UCKQECjul8nw1KW_JzfBTP1A,KPRC 2 Click2Houston,2014-04-17,660000,75421
69,UC2rLSYDm92QMytS9yIkT8UQ,FOX 4 Now,2010-04-20,236000,74700
70,UCQAUoXXSGHSntpTPvWwvXbg,NEWS CENTER Maine,2016-03-21,82300,47919
71,UCXJryYh6xcW5iEeJGzK191A,CBS Miami,2014-08-06,560000,90084
72,UCgVZ0mrM3liHNhRYC5Mchgg,WPLG Local 10,2017-09-06,813000,72670
73,UCumtYpCY26F6Jr3satUgMvA,NTV Telugu,2014-08-24,8120000,334871
74,UCVaXclURQZlakiTMzuwHvRw,News 19 WLTX,2011-12-21,413000,34281
75,UC9k-yiEpRHMNVOnOi_aQK8w,Inside Edition,2012-10-09,13000000,33705
76,UCzF4Ryn8TKn64md77gS5Q5Q,11Alive,2017-02-17,1690000,102021
77,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,2014-10-22,3510000,16819
78,UCxCfoSInadl-4i3F70zDt1A,NBC New York,2012-01-30,569000,8434
79,UCp9pxqv-oMY1a6axT6mHcew,Pastor Greg Laurie,2006-06-06,512000,3182
80,UCH1oRy1dINbMVp3UFWrKP0w,Good Morning America,2015-08-26,4920000,35844
81,UCxHoBXkY88Tb8z1Ssj6CWsQ,SOMOY TV,2015-10-21,23000000,183914
82,UCZaT_X_mc0BI-djXOlfhqWQ,VICE News,2013-11-20,8890000,6500
83,UCKe4Fry0MyvT_SRrmn0_MiQ,WISH-TV,2016-11-16,40000,60769
84,UClR8YIQX5Fb8J2wmsUKLhvQ,American Academy of Pediatrics,2014-08-28,20100,823
85,UC52X5wxOL_s5yw0dQk7NtgA,Associated Press,2006-09-18,2690000,170243
86,UCAUMuw4KF1mPdOlxaAbTDmw,uvahealth,2008-07-01,12800,1336
87,UCg40OxZ1GYh3u3jBntB6DLg,Forbes Breaking News,2017-06-28,2910000,85548
88,UCCvgLV2Ixb8KCemj-UtXZ-g,The Royal Family Channel,2010-12-16,3390000,5701
89,UCvJJ_dzjViJCoLf5uKUTwoA,CNBC,2006-06-17,3380000,15225
90,UCVxBA3Cbu3pm8w8gEIoMEog,ABC7,2007-07-04,1960000,19211
91,UCZYTClx2T1of7BRZ86-8fow,SciShow,2011-10-20,7870000,3606
92,UCfbOuzIck8uZfzFII6bb8Lg,PMOBarbados,2019-10-30,32900,1099
