,channel_id,channel_name,LinkedIn,Wiki,Website,Twitter,Facebook,Instagram
82,UCKQECjul8nw1KW_JzfBTP1A,KPRC 2 Click2Houston,False,False,False,True,True,True
83,UCHd62-u_v4DvJ8TCFtpi4GA,Washington Post,False,True,False,True,True,True
84,UCeY0bbntWzzVIaj2z3QigXg,NBC News,True,True,True,True,True,True
85,UCoNUtq2hO0VBcwoXX0-f4vA,Jewish Voice for Peace,True,True,True,True,True,True
86,UCIHdDJ0tjn_3j-FS7s_X1kQ,Valuetainment,True,False,False,True,True,True
87,UCY6KjrDBN_tIRFT_QNqQbRQ,Madan Gowri,True,False,False,True,True,True
88,UChLtXXpo4Ge1ReTEboVvTDg,Global News,True,True,False,True,True,True
89,UCBoo_MALVZlUBmSsQAtChVA,Daily Jesus Devotional,False,True,True,True,True,False
90,UCPxMZIFE856tbTfdkdjzTSQ,BeerBiceps,True,False,False,True,True,True
91,UC3njZ48-FDxLleBYaP0SZIg,The Hindu,False,True,True,True,True,True
92,UCDpZr9QCE6ClX8S_CX8Gg4A,Encounter Books,True,True,False,True,True,True
93,UChWtJey46brNr7qHQpN6KLQ,The Wire,True,True,True,True,True,True
94,UCLpn_QJwfehfKuTt0orfYDw,הדרך הקלה,False,False,True,False,True,False
95,UCwnKziETDbHJtx78nIkfYug,CaspianReport,True,True,True,True,True,True
96,UCJg9wBPyKMNA5sRDnvzmkdg,LiveNOW from FOX,False,True,False,True,True,True
97,UC3oKOKlDjM93TKyKLSCOWSQ,alexplain,False,False,False,True,True,True
98,UCu4XcDBdnZkV6-5z2f16M0g,Real Stories,False,True,True,True,True,True
99,UC_Qcjmf7vL19BYW_bHYSfAg,Reality Explained,False,True,False,False,False,True
100,UCH7lEQtLPgyd_nLsCn_EOXg,Anurag Talks,False,True,True,True,True,True
101,UCmouT0FDMQC8PH8CbQFdHUw,Today Unpacked,False,False,False,False,False,False
102,UCCEQKydMgEFIXA4XDshj0CA,Minutes Mystery,False,False,False,True,True,True
103,UCgRCNbM4tBQ8GL-PYNiSwCQ,NB Show Telugu,False,False,False,False,True,True
104,UCMmaBzfCCwZ2KqaBJjkj0fw,Kings and Generals,False,False,True,True,True,True
105,UCuw0GgMlZlAsWvpI8PgCN8g,ENDEVR,True,False,False,True,True,True
106,UCvm8V4Dwtz0fbPGbpk7RYAg,BBC News اردو,False,True,False,True,True,False
107,UCzLqOSZPtUKrmSEnlH4LAvw,Drishti IAS,False,False,False,True,True,True
108,UCtL5p5kTIgWA3bcskUccdyw,Media Education Foundation,True,True,True,True,True,True
109,UCKop7_gs7xq5tbrDDYuplhA,RJ Raunac,False,False,False,True,True,True
110,UCatt7TBjfBkiJWx8khav_Gg,Piers Morgan Uncensored,False,True,True,True,True,True
111,UCchgIh8Tc4sTmBfnMQ5pDdg,Rick Steves' Europe,True,True,True,True,True,True
112,UCoMdktPbSTixAyNGwb-UYkQ,Sky News,False,True,False,True,True,True
113,UCrdPiSPVW0rtRsI002BX8iw,Mojo Story,False,True,True,True,True,True
114,UCVSNOxehfALut52NbkfRBaA,Voice of America,True,True,False,True,True,True
