,video_id,comment,comment_cleaned
372,iiUIWnU-Ofk,"Amazing video sir , those who say India was never a nation before their doubt will be cleared , I think my present generation takes our culture for granted and mocks it often  without knowing the fact that thundred of thousands of lives are sacrificed to keep this culture alive .
Proud to be part of this oldest civilization.
Jai Hind","amazing video sir , those who say india was never a nation before their doubt will be cleared , i think my present generation takes our culture for granted and mocks it often  without knowing the fact that thundred of thousands of lives are sacrificed to keep this culture alive .
proud to be part of this oldest civilization.
jai hind"
373,iiUIWnU-Ofk,"Geography, history, politics, religions, civics...this video is a 5-in-1educational bonanza. <3","geography, history, politics, religions, civics...this video is a 5-in-1educational bonanza. <3"
374,iiUIWnU-Ofk,This young man’s knowledge of history is unbelievable. I am beyond wow 🤩,this young man’s knowledge of history is unbelievable. i am beyond wow 🤩
375,nufBpHmWhtQ,"UK created most of the territorial disputes around world in history, but incapable to solve any of them nowadays.","uk created most of the territorial disputes around world in history, but incapable to solve any of them nowadays."
376,nufBpHmWhtQ,When you divide a nation like it's an incomplete jigsaw puzzle this is what happens. I think much of the blame falls on the U.N. and the British empire. You can't promise a nation to a people where people are already building lives.,when you divide a nation like it's an incomplete jigsaw puzzle this is what happens. i think much of the blame falls on the u.n. and the british empire. you can't promise a nation to a people where people are already building lives.
377,nufBpHmWhtQ,"If there are two fish fighting, a Brit swam through","if there are two fish fighting, a brit swam through"
378,nufBpHmWhtQ,"The map after 6 days war that you used was inaccurate, Israel also took the Sinai and Golan Heights.","the map after 6 days war that you used was inaccurate, israel also took the sinai and golan heights."
379,nufBpHmWhtQ,"I mean, they could at least have divided it in half, with both sides getting sea access... but no, they divided it by what seems like drunk people throwing darts at a map.","i mean, they could at least have divided it in half, with both sides getting sea access... but no, they divided it by what seems like drunk people throwing darts at a map."
380,nufBpHmWhtQ,Me in 2023 trying to understand the conflict,me in 2023 trying to understand the conflict
381,nufBpHmWhtQ,Why is America involved in everything?,why is america involved in everything?
382,nufBpHmWhtQ,Only the blind cannot see the cruel injustice,only the blind cannot see the cruel injustic
383,nufBpHmWhtQ,"Sykes-Picot Agreement, also called Asia Minor Agreement, (May 1916), secret convention made during World War I between Great Britain and France, with the assent of imperial Russia, for the dismemberment of the Ottoman Empire. The agreement led to the division of Turkish-held Syria, Iraq, Lebanon, and Palestine into various French- and British-administered areas. Negotiations were begun in November 1915, and the final agreement took its name from the chief negotiators from Britain and France, Sir Mark Sykes and François Georges-Picot. Sergey Dimitriyevich Sazonov was also present to represent Russia, the third member of the Triple Entente.","sykes-picot agreement, also called asia minor agreement, (may 1916), secret convention made during world war i between great britain and france, with the assent of imperial russia, for the dismemberment of the ottoman empire. the agreement led to the division of turkish-held syria, iraq, lebanon, and palestine into various french- and british-administered areas. negotiations were begun in november 1915, and the final agreement took its name from the chief negotiators from britain and france, sir mark sykes and françois georges-picot. sergey dimitriyevich sazonov was also present to represent russia, the third member of the triple entente."
384,nufBpHmWhtQ,"The PLO was founded in 1964, before the 6-day war, not after it.","the plo was founded in 1964, before the 6-day war, not after it."
385,W5hBL94EFMQ,Never ask the UN to ever draw borders again.,never ask the un to ever draw borders again.
386,W5hBL94EFMQ,And when Palestinians fight back they cry out in anger but when Israelis murder Palestinian civilians they say “It’s war what do you expect”,and when palestinians fight back they cry out in anger but when israelis murder palestinian civilians they say “it’s war what do you expect”
387,W5hBL94EFMQ,When the oppressed becomes the oppressor,when the oppressed becomes the oppressor
388,W5hBL94EFMQ,Who needs history when you can make your own reality,who needs history when you can make your own r
389,W5hBL94EFMQ,Cant believe vox went into this narrative without presenting all the facts.,cant believe vox went into this narrative without presenting all the facts.
390,W5hBL94EFMQ,Y'all decided not to tell 99% of the story,y'all decided not to tell 99% of the stori
391,W5hBL94EFMQ,Tell me half the story without telling me you're telling half the story.,tell me half the story without telling me you're telling half the story.
392,W5hBL94EFMQ,Free Palestine 🇵🇸,free palestine 🇵🇸
393,W5hBL94EFMQ,Cycles of violence and hatred are supposed to be broken not continued.,cycles of violence and hatred are supposed to be broken not continued.
394,rGVgjS98OsU,"Thank you Vox for showing the raw facts, very simple history that the whole world is turning a blind eye to","thank you vox for showing the raw facts, very simple history that the whole world is turning a blind eye to"
