,video_id,video_title,description,video_dop,view_count,like_count,comment_count,channel_id,channel_title,channel_dop,sub_count,total_videos
20,-PqXVcMtygc,"Philippines to donate COVID-19 vaccines to Myanmar, Papua New Guinea","""Subscribe: https://www.youtube.com/@Rappler/\n\nMore videos on Rappler: https://www.rappler.com/video Due to its 'excess' doses, the Philippines will be donating some of its COVID-19 vaccines to Myanmar and Papua New Guinea. The donation of vaccines aims to address the issue of expiring vaccines.\n\nFull story: https://www.rappler.com/nation/philippines-to-donate-excess-covid-19-vaccines-myanmar-papua-new-guinea/ Follow Rappler for the latest news in the Philippines and around the world. \n\nSupport independent journalism. You can help power our investigative fund by donating to our crowdfunding: https://donate.rappler.com/""",2022-04-05,1040,5,10,UCdnZdQxYXnbN4uWJg96oGxw,Rappler,2011-12-02,1950000,50435
21,TaCgQsrwq8k,Philippines to receive bivalent vaccines from COVAX by end-March,'Department of Health Officer-in-Charge Maria Rosario Vergeire says the Philippines will receive over 1 million doses of bivalent coronavirus vaccines from the global COVAX facility.\n\nFull story: https://www.rappler.com/nation/philippines-receive-covid-19-bivalent-vaccines-covax-end-march-2023/\n\nSubscribe: https://bit.ly/RapplerYouTube\nMore videos on Rappler: https://www.rappler.com/video\n\nFollow Rappler for the latest news in the Philippines and around the world. \n\nSupport independent journalism. You can help power our investigative fund by donating to our crowdfunding: https://donate.rappler.com/',2023-02-28,14901,172,17,UCdnZdQxYXnbN4uWJg96oGxw,Rappler,2011-12-02,1950000,50435
22,p_VXqbHPaaY,Last in Southeast Asia: Duterte witnesses turnover of COVID-19 vaccines,"'Subscribe: https://www.youtube.com/@Rappler/\n\nMore videos on Rappler: https://www.rappler.com/video President Rodrigo Duterte witnesses the turnover of the first batch of COVID-19 vaccines received by the Philippines, the last country in Southeast Asia to start its vaccination campaign.\nFull story: https://www.rappler.com/nation/philippines-receives-first-delivery-covid-19-vaccine-sinovac-february-28-2021\n\nFollow Rappler for the latest news in the Philippines and around the world. \n\nSupport independent journalism. Help us stay free and independent of political pressure and commercial interests: https://r3.rappler.com/crowdfunding\n\n\n\n_____________________________________________________________________\n\nFollow Rappler on Social Media:\n\nFacebook - https://www.facebook.com/rapplerdotcom\nTwitter - https://twitter.com/rapplerdotcom\nInstagram - http://instagram.com/rappler\nYouTube - https://www.youtube.com/rappler/?sub_confirmation=1\nSoundCloud - https://soundcloud.com/rappler\nGoogle+ - https://plus.google.com/+Rappler/\nTumblr - http://rappler.tumblr.com/\n\nhttp://www.rappler.com/ Follow Rappler for the latest news in the Philippines and around the world. \n\nSupport independent journalism. You can help power our investigative fund by donating to our crowdfunding: https://donate.rappler.com/'",2021-02-28,33845,165,1,UCdnZdQxYXnbN4uWJg96oGxw,Rappler,2011-12-02,1950000,50435
23,acV8Zhs1f5o,Philippines eyes 4 coronavirus vaccines in first quarter 2021 | ABS-CBN News,"'The Philippines is eyeing to use 4 vaccines against the novel coronavirus by the first 3 months of 2021, Malacañang said on Thursday, even as the country has yet to receive emergency vaccine use applications fort the drug.\n\nTo watch more breaking news, click the links below:\nhttps://www.youtube.com/playlist?list=PLgyY1WylJUmgG2ln-vtKXb-oLlGEZc3sR\n\nTo watch TeleRadyo videos, click the links below:\nhttps://www.youtube.com/playlist?list=PLgyY1WylJUmjhG4rVrq9CXF7oVrogq2wX\n\nTo watch the latest updates on Coronavirus Outbreak, click the link below:\nhttps://www.youtube.com/playlist?list=PLgyY1WylJUmgfPR6cfM34CVfv_xeWMu01\n\nSubscribe to the ABS-CBN News channel! - http://bit.ly/TheABSCBNNews\n\nWatch the full episodes of TV Patrol on iWantTFC:\nhttp://bit.ly/TVPatrol-iWantTFC\n\nVisit our website at http://news.abs-cbn.com\nFacebook: https://www.facebook.com/abscbnNEWS\nTwitter: https://twitter.com/abscbnnews\n\n#ABSCBNNews\n#LatestNews\n#BreakingNews'",2020-12-17,163205,474,159,UCE2606prvXQc_noEqKxVJXA,ABS-CBN News,2009-10-22,15700000,220721
24,k9dFbELGyC8,"Philippines offers nurses in exchange for vaccines from Britain, Germany",'Subscribe: https://www.youtube.com/@Rappler/\n\nMore videos on Rappler: https://www.rappler.com/video The Philippines will let thousands of its healthcare workers take up jobs in the United Kingdom and Germany if the two countries agree to donate COVID-19 vaccines.\n\nREAD: https://www.rappler.com/nation/philippines-offers-nurses-exchange-covid-19-vaccines-from-britain-germany\n\nFollow Rappler for the latest news in the Philippines and around the world. \n\nSupport independent journalism. Help us stay free and independent of political pressure and commercial interests: https://r3.rappler.com/crowdfunding\n\n\n\n_____________________________________________________________________\n\nFollow Rappler on Social Media:\n\nFacebook - https://www.facebook.com/rapplerdotcom\nTwitter - https://twitter.com/rapplerdotcom\nInstagram - http://instagram.com/rappler\nYouTube - https://www.youtube.com/rappler/?sub_confirmation=1\nSoundCloud - https://soundcloud.com/rappler\nGoogle+ - https://plus.google.com/+Rappler/\nTumblr - http://rappler.tumblr.com/\n\nhttp://www.rappler.com/ Follow Rappler for the latest news in the Philippines and around the world. \n\nSupport independent journalism. You can help power our investigative fund by donating to our crowdfunding: https://donate.rappler.com/',2021-02-24,12305,60,0,UCdnZdQxYXnbN4uWJg96oGxw,Rappler,2011-12-02,1950000,50435
25,S5c3y0JKGTs,COVID-19 vaccination – Video – How COVID-19 vaccines work (Tagalog),"'In this video, in Tagalog, health care professional Harvey explains how COVID-19 vaccines work.'",2021-03-26,12558,,0,UCf3BkFTwI4G1vMc6W-NpQNw,Australian Department of Health and Aged Care,2014-11-17,18400,1908
26,kNN9yuEI8M8,4 COVID-19 vaccines authorized as booster shots — FDA,"'The Philippine FDA decided to use four COVID-19 vaccine brands as booster doses for fully vaccinated health care workers.\n\nSubscribe to our official YouTube channel, https://bit.ly/2ImmXOi\n\nBe the first to know about the latest updates on COVID-19 pandemic, lockdowns, community quarantine, new normal, and Serbisyong Bayanihan. \n\nWe Serve the People. We Give Glory To God!\n #SerbisyongBayanihan #UNTVNewsandRescue \n\nFor updates, visit: https://www.untvweb.com/news/\n\nCheck out our official social media accounts:\nhttps://www.facebook.com/UNTVNewsRescue\nhttps://www.twitter.com/untvnewsrescue\nhttps://www.youtube.com/untvnewsandrescue\nInstagram account - @untvnewsrescue\n\nFeel free to share but do not re-upload.'",2021-11-16,67594,339,87,UC3XaG-7UVi2vD8ZZEMNnnpw,UNTV News and Rescue,2014-05-30,3780000,96376
27,lf4HsAliVlo,"Pagpapabakuna ng bivalent COVID-19 vaccines, sinimulan na sa health workers ng San Juan City | BT","'Umarangkada na ang pagbabakuna ng bivalent COVID-19 vaccine sa mga LGU. Sa San Juan City, unang binigyan niyan ang mga health worker. May ulat on the spot si Lei Alviz.\n\nBalitanghali is the daily noontime newscast of GTV anchored by Raffy Tima and Connie Sison. It airs Mondays to Fridays at 11:00 AM (PHL Time). For more videos from Balitanghali, visit http://www.gmanews.tv/balitanghali.\n\n#GMAIntegratedNews #KapusoStream\n\nBreaking news and stories from the Philippines and abroad:\nGMA Integrated News Portal: http://www.gmanews.tv\nFacebook: http://www.facebook.com/gmanews\nTikTok: https://www.tiktok.com/@gmanews\nTwitter: http://www.twitter.com/gmanews\nInstagram: http://www.instagram.com/gmanews\n\nGMA Network Kapuso programs on GMA Pinoy TV: https://gmapinoytv.com/subscribe'",2023-06-22,2529,19,11,UCqYw-CTd1dU2yGI71sEyqNw,GMA Integrated News,2007-10-29,14200000,314978
28,nseClrmTPVY,ADB loans Philippines $400 million for COVID-19 vaccines,"'Subscribe: https://www.youtube.com/@Rappler/\n\nMore videos on Rappler: https://www.rappler.com/video The Asian Development Bank on Friday, March 12, approves a $400-million or P19.4-billion loan for the Philippines to purchase COVID-19 vaccines.\n\nREAD: https://www.rappler.com/business/asian-development-bank-loan-philippines-covid-19-vaccines-march-2021\n\nFollow Rappler for the latest news in the Philippines and around the world. \n\nSupport independent journalism. Help us stay free and independent of political pressure and commercial interests: https://r3.rappler.com/crowdfunding\n\n\n\n_____________________________________________________________________\n\nFollow Rappler on Social Media:\n\nFacebook - https://www.facebook.com/rapplerdotcom\nTwitter - https://twitter.com/rapplerdotcom\nInstagram - http://instagram.com/rappler\nYouTube - https://www.youtube.com/rappler/?sub_confirmation=1\nSoundCloud - https://soundcloud.com/rappler\nGoogle+ - https://plus.google.com/+Rappler/\nTumblr - http://rappler.tumblr.com/\n\nhttp://www.rappler.com/ Follow Rappler for the latest news in the Philippines and around the world. \n\nSupport independent journalism. You can help power our investigative fund by donating to our crowdfunding: https://donate.rappler.com/'",2021-03-12,22005,85,0,UCdnZdQxYXnbN4uWJg96oGxw,Rappler,2011-12-02,1950000,50435
29,vfF9q6pB30s,"Paparating na bivalent COVID-19 vaccines, ibibigay na third booster para sa mga senior... | Saksi","""Paparating na bivalent COVID-19 vaccines, ibibigay na third booster para sa mga senior citizen at healthcare workers\n\nMga health care worker at senior citizen ang uunahin sa pagtuturok ng bivalent vaccines na darating sa bansa ngayong buwan. Batay sa mga pag-aaral, mas mataas ang proteksyong maibibigay ng bivalent vaccines laban sa Omicron variant.\n\nSaksi is GMA Network's late-night newscast hosted by Arnold Clavio and Pia Arcangel. It airs Mondays to Fridays at 11:00 PM (PHL Time) on GMA-7. For more videos from Saksi, visit http://www.gmanews.tv/saksi.\xa0\n\n#GMAIntegratedNews #KapusoStream\n\nBreaking news and stories from the Philippines and abroad:\nGMA Integrated News Portal: http://www.gmanews.tv\nFacebook: http://www.facebook.com/gmanews\nTikTok: https://www.tiktok.com/@gmanews\nTwitter: http://www.twitter.com/gmanews\nInstagram: http://www.instagram.com/gmanews\n\nGMA Network Kapuso programs on GMA Pinoy TV: https://gmapinoytv.com/subscribe""",2023-06-01,1595,19,18,UCqYw-CTd1dU2yGI71sEyqNw,GMA Integrated News,2007-10-29,14200000,314978
